Time,axis0_aileron,axis1_elevator,axis2_throttle_all,axis3_rudder,indicated-altitude-ft,indicated-speed-kt,indicated-speed-fpm,indicated-track-magnetic-deg,indicated-heading-deg,airspeed-kt,groundspeed-kt,altitude-agl-ft,altitude-ft,latitude-deg,longitude-deg,balloon-lat,balloon-lon,balloon-alt,balloon-level,balloon-hit,balloons-count,balloon-scoring-closest-ft
1,-6.127567396e-05,6.127567396e-05,0,-0.03126573563,0,0,-0,0,270.05,0,0,5.170131193,35.16078144,19.72137997,-155.0578101,,,,,,,
1,-6.127567396e-05,6.127567396e-05,0,-0.03126573563,0,0,-0,0,270.05,0,0,5.170131193,35.16078144,19.72137997,-155.0578101,,,,,,,
1,-6.127567396e-05,6.127567396e-05,0,-0.03126573563,0,0,-0,0,270.05,0,0,5.170131193,35.16078144,19.72137997,-155.0578101,,,,,,,
1,-6.127567396e-05,6.127567396e-05,0,-0.03126573563,0,0,-0,0,270.05,0,0,5.170131193,35.16078144,19.72137997,-155.0578101,,,,,,,
1,-6.127567396e-05,6.127567396e-05,0,-0.03126573563,0,0,-0,0,270.05,0,0,5.170131193,35.16078144,19.72137997,-155.0578101,,,,,,,
1,-6.127567396e-05,6.127567396e-05,0,-0.03126573563,0,0,-0,0,270.05,0,0,5.170131193,35.16078144,19.72137997,-155.0578101,,,,,,,
1,-6.127567396e-05,6.127567396e-05,0,-0.03126573563,0,0,-0,0,270.05,0,0,5.170131193,35.16078144,19.72137997,-155.0578101,,,,,,,
1,-6.127567396e-05,6.127567396e-05,0,-0.03126573563,0,0,-0,0,270.05,0,0,5.170131193,35.16078144,19.72137997,-155.0578101,,,,,,,
1,-6.127567396e-05,6.127567396e-05,0,-0.03126573563,0,0,-0,0,270.05,0,0,5.170131193,35.16078144,19.72137997,-155.0578101,,,,,,,
1,-6.127567396e-05,6.127567396e-05,0,-0.03126573563,0,0,-0,0,270.05,0,0,5.170131193,35.16078144,19.72137997,-155.0578101,,,,,,,
1,-6.127567396e-05,6.127567396e-05,0,-0.03126573563,0,0,-0,0,270.05,0,0,5.170131193,35.16078144,19.72137997,-155.0578101,,,,,,,
1,-6.127567396e-05,6.127567396e-05,0,-0.03126573563,0,0,-0,0,270.05,0,0,5.170131193,35.16078144,19.72137997,-155.0578101,,,,,,,
1,-6.127567396e-05,6.127567396e-05,0,-0.03126573563,0,0,-0,0,270.05,0,0,5.170131193,35.16078144,19.72137997,-155.0578101,,,,,,,
1,-6.127567396e-05,6.127567396e-05,0,-0.03126573563,0,0,-0,0,270.05,0,0,5.170131193,35.16078144,19.72137997,-155.0578101,,,,,,,
1,-6.127567396e-05,6.127567396e-05,0,-0.03126573563,0,0,-0,0,270.05,0,0,5.170131193,35.16078144,19.72137997,-155.0578101,,,,,,,
1,-6.127567396e-05,6.127567396e-05,0,-0.03126573563,0,0,-0,0,270.05,0,0,5.170131193,35.16078144,19.72137997,-155.0578101,,,,,,,
1,-6.127567396e-05,6.127567396e-05,0,-0.03126573563,0,0,-0,0,270.05,0,0,5.170131193,35.16078144,19.72137997,-155.0578101,,,,,,,
1,-6.127567396e-05,6.127567396e-05,0,-0.03126573563,0,0,-0,0,270.05,0,0,5.170131193,35.16078144,19.72137997,-155.0578101,,,,,,,
1,-6.127567396e-05,6.127567396e-05,0,-0.03126573563,0,0,-0,0,270.05,0,0,5.170131193,35.16078144,19.72137997,-155.0578101,,,,,,,
1,-6.127567396e-05,6.127567396e-05,0,-0.03126573563,0,0,-0,0,270.05,0,0,5.170131193,35.16078144,19.72137997,-155.0578101,,,,,,,
1,-6.127567396e-05,6.127567396e-05,0,-0.03126573563,0,0,-0,0,270.05,0,0,5.170131193,35.16078144,19.72137997,-155.0578101,,,,,,,
1,-6.127567396e-05,6.127567396e-05,0,-0.03126573563,0,0,-0,0,270.05,0,0,5.170131193,35.16078144,19.72137997,-155.0578101,,,,,,,
1,-6.127567396e-05,6.127567396e-05,0,-0.03126573563,0,0,-0,0,270.05,0,0,5.170131193,35.16078144,19.72137997,-155.0578101,,,,,,,
1,-6.127567396e-05,6.127567396e-05,0,-0.03126573563,0,0,-0,0,270.05,0,0,5.170131193,35.16078144,19.72137997,-155.0578101,,,,,,,
1,-6.127567396e-05,6.127567396e-05,0,-0.03126573563,0,0,-0,0,270.05,0,0,5.170131193,35.16078144,19.72137997,-155.0578101,,,,,,,
1,-6.127567396e-05,6.127567396e-05,0,-0.03126573563,0,0,-0,0,270.05,0,0,5.170131193,35.16078144,19.72137997,-155.0578101,,,,,,,
1,-6.127567396e-05,6.127567396e-05,0,-0.03126573563,0,0,-0,0,270.05,0,0,5.170131193,35.16078144,19.72137997,-155.0578101,,,,,,,
1,-6.127567396e-05,6.127567396e-05,0,-0.03126573563,0,0,-0,0,270.05,0,0,5.170131193,35.16078144,19.72137997,-155.0578101,,,,,,,
1,-6.127567396e-05,6.127567396e-05,0,-0.03126573563,0,0,-0,0,270.05,0,0,5.170131193,35.16078144,19.72137997,-155.0578101,,,,,,,
1,-6.127567396e-05,6.127567396e-05,0,-0.03126573563,0,0,-0,0,270.05,0,0,5.170131193,35.16078144,19.72137997,-155.0578101,,,,,,,
1,-6.127567396e-05,6.127567396e-05,0,-0.03126573563,0,0,-0,0,270.05,0,0,5.170131193,35.16078144,19.72137997,-155.0578101,,,,,,,
